,precision,recall,f1-score,support
negative,0.7764842840512224,0.9687726942628904,0.8620355411954765,1377.0
neutral,0.7359307359307359,0.3655913978494624,0.4885057471264368,465.0
positive,0.854251012145749,0.596045197740113,0.7021630615640599,354.0
accuracy,0.7809653916211293,0.7809653916211293,0.7809653916211293,0.7809653916211293
macro avg,0.7888886773759024,0.6434697632841552,0.6842347832953243,2196.0
weighted avg,0.7804332921884883,0.7809653916211293,0.7571693244233341,2196.0
